Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C,Nitrate_uM
3.017,29.3412,0.0357,0.0946,45.609,111.464,35.1628,22.072,112.396,3.0,29.3405,-1.0070824500367916
4.022,29.4096,0.0305,0.0734,44.937,142.776,35.1761,22.059,142.007,4.0,29.4086,-0.848231285260771
5.028,29.4408,0.0306,0.0762,39.408,169.749,35.199,22.0658,169.732,5.0,29.4395,-0.9155423862830979
6.033,29.4338,0.0278,0.0728,34.037,173.937,35.2017,22.0703,175.302,6.0,29.4323,-0.7946725607584766
7.039,29.42,0.0375,0.0761,33.062,174.959,35.2023,22.0754,174.384,7.0,29.4183,-0.877805234406849
8.045,29.3757,0.0365,0.0745,33.014,176.147,35.205,22.0924,175.989,8.0,29.3737,-1.2716358875512561
9.05,29.2518,0.0332,0.0747,27.856,179.262,35.2023,22.1322,176.558,9.0,29.2497,-0.9106834304936103
10.056,29.1656,0.0416,0.0802,32.005,179.782,35.2149,22.1708,176.912,10.0,29.1631,-1.8485128004073133
11.062,29.1269,0.0279,0.0894,28.171,179.979,35.2226,22.1896,177.662,11.0,29.1242,-1.7392874955205329
12.067,29.1063,0.0454,0.0919,26.848,180.998,35.2305,22.2025,178.77,12.0,29.1034,-2.0796143841591768
13.073,29.0804,0.1134,0.0875,27.11,181.124,35.2386,22.2174,179.57,13.0,29.0772,-1.3985991315287578
14.079,29.0213,0.0495,0.087,24.362,181.525,35.2467,22.2433,180.668,14.0,29.0179,-1.4051542481045556
15.084,28.938,0.0441,0.0902,24.641,182.488,35.2558,22.2781,181.944,15.0,28.9343,-1.6504538136497053
16.09,28.8097,0.0564,0.0932,22.8,184.16,35.2684,22.3304,184.415,16.0,28.8058,-1.316483427616086
17.096,28.6175,0.0631,0.0977,21.891,185.541,35.2831,22.4054,186.167,17.0,28.6134,-1.4990545276875007
18.101,28.3636,0.0545,0.1034,20.071,187.407,35.3006,22.5026,185.605,18.0,28.3593,-1.755755046628701
19.107,27.9938,0.0779,0.1095,20.104,190.97,35.3441,22.657,187.296,19.0,27.9893,-1.8123602462593522
20.112,27.66,0.0911,0.1112,11.531,193.739,35.3607,22.7783,187.438,20.0,27.6553,-2.2057376611161925
21.118,27.4674,0.0783,0.1209,15.852,193.205,35.4017,22.8716,188.342,21.0,27.4625,-1.8563889142029917
22.124,27.0894,0.1102,0.1224,12.056,194.293,35.4437,23.0249,189.462,22.0,27.0843,-0.9057407524512868
23.129,26.2882,0.1239,0.1234,14.605,195.659,35.5275,23.3424,192.037,23.0,26.283,-0.5289593815108627
24.135,25.6296,0.1443,0.1217,11.475,199.096,35.573,23.5826,192.572,24.0,25.6243,-0.41443156554790317
25.141,25.4571,0.12,0.1196,12.29,199.403,35.6055,23.6605,191.267,25.0,25.4515,-0.5526292264363889
26.147,25.1702,0.1762,0.1168,9.472,200.348,35.6101,23.7521,191.967,26.0,25.1645,-0.6287583713646532
27.152,24.8543,0.2116,0.1204,8.7933,200.469,35.6273,23.8614,192.133,27.0,24.8484,0.8986079034772527
28.158,24.4054,0.2577,0.1221,9.8935,198.242,35.671,24.0304,190.802,28.0,24.3994,1.9929762625281262
29.164,24.16,0.2114,0.1254,6.9256,199.898,35.6693,24.1024,186.565,29.0,24.1538,1.6019590610137833
30.169,23.7302,0.2533,0.124,7.7204,199.745,35.7129,24.2629,184.205,30.0,23.7238,1.5196926846618437
31.175,23.2094,0.2632,0.1222,5.5769,200.414,35.7273,24.4263,185.46,31.0,23.203,2.6369098279472696
32.181,22.8372,0.2609,0.1173,6.5407,195.501,35.7644,24.5623,185.424,32.0,22.8307,4.3351708188075815
33.187,22.6607,0.2579,0.1249,5.7759,191.697,35.7817,24.6262,180.954,33.0,22.654,4.660964155859634
34.192,22.6134,0.3182,0.1123,5.0477,191.301,35.7841,24.6416,170.503,34.0,22.6065,6.738103744365843
35.198,22.4525,0.3321,0.1091,4.9352,190.714,35.7918,24.6935,158.922,35.0,22.4455,8.814501738940805
36.204,22.0718,0.7135,0.1142,3.9687,189.745,35.782,24.7939,157.633,36.0,22.0646,9.541171353753704
37.21,21.7654,0.8735,0.1474,4.0064,181.498,35.7728,24.873,162.033,37.0,21.758,5.724062534754805
38.215,21.5618,0.8874,0.1618,3.3712,168.739,35.7752,24.9316,160.241,38.0,21.5543,7.995471942712835
39.221,21.4403,0.8979,0.1814,3.1509,162.92,35.8068,24.9893,153.002,39.0,21.4326,1.7010990386290221
40.227,21.2191,0.8212,0.158,2.5554,167.143,35.8143,25.056,148.18,40.0,21.2113,8.20476335415813
41.232,21.0522,0.8042,0.1443,2.6036,164.861,35.8083,25.0973,144.122,41.0,21.0443,4.963034400033539
42.238,20.9934,0.7227,0.1416,2.115,154.967,35.7969,25.1048,136.423,42.0,20.9853,7.290543798675894
43.244,20.9362,0.7586,0.1298,2.177,151.889,35.7922,25.1168,133.549,43.0,20.9279,3.9215867358647514
44.25,20.7305,0.8056,0.128,1.5319,149.097,35.7692,25.1552,134.089,44.0,20.7221,5.180773045963291
45.256,20.6123,0.7256,0.1219,1.7481,141.528,35.7751,25.1917,134.532,45.0,20.6037,6.942016146710482
46.262,20.5803,0.6586,0.1218,1.3773,136.331,35.7787,25.2031,132.602,46.0,20.5715,7.978418253995318
47.267,20.5463,0.6324,0.1183,1.3533,137.278,35.7848,25.217,128.015,47.0,20.5373,5.83908859390659
48.273,20.4282,0.5902,0.1161,0.91005,138.491,35.7792,25.2446,119.472,48.0,20.4191,8.617490158899043
49.279,20.2683,0.5524,0.1152,1.137,134.856,35.7903,25.2958,112.002,49.0,20.2591,4.039599245073548
50.285,19.8403,0.4187,0.1122,0.96584,131.325,35.7655,25.3904,110.107,50.0,19.831,0.8178081015873016
51.29,19.5278,0.3358,0.1077,0.90398,122.566,35.776,25.4804,108.971,51.0,19.5184,1.3176873524618673
52.297,19.3657,0.2933,0.1047,0.83836,113.665,35.7815,25.5268,107.535,52.0,19.3562,2.4204848031305977
53.302,19.2619,0.2785,0.0956,0.79524,112.682,35.7775,25.5507,105.169,53.0,19.2522,3.7183360987582197
54.308,19.1443,0.2148,0.0856,0.68256,111.37,35.7752,25.5793,105.129,54.0,19.1345,3.8164144253968253
55.314,19.0384,0.2144,0.0781,0.6702,110.086,35.7771,25.608,105.696,55.0,19.0285,7.2481919871963045
56.32,19.0116,0.1991,0.0766,0.58255,107.422,35.779,25.6163,105.03,56.0,19.0015,8.541519200040046
57.325,19.0052,0.2142,0.0747,0.55933,108.458,35.7779,25.6172,103.356,57.0,18.9949,7.595779565416868
58.331,18.9535,0.1852,0.0688,0.4816,108.675,35.777,25.6297,103.856,58.0,18.9431,8.849219277968865
59.337,18.8967,0.1815,0.0709,0.50751,107.183,35.7795,25.6463,103.985,59.0,18.8861,9.419560314499115
60.343,18.8114,0.1687,0.0761,0.45161,106.476,35.7759,25.6653,103.231,60.0,18.8007,9.589954695213098
61.349,18.7678,0.1472,0.0703,0.36323,106.933,35.7752,25.6759,102.316,61.0,18.7569,11.561697848955228
62.355,18.7237,0.1495,0.0567,0.4002,106.918,35.7715,25.6843,101.988,62.0,18.7127,11.107450853859525
63.361,18.6852,0.1263,0.0595,0.33457,105.665,35.7724,25.6948,101.826,63.0,18.674,11.80996361988957
64.367,18.6188,0.1002,0.0625,0.26373,104.684,35.7753,25.7139,101.803,64.0,18.6074,11.006508998059445
65.373,18.5338,0.0804,0.0606,0.20431,104.546,35.7722,25.733,100.915,65.0,18.5224,11.255364757163441
66.378,18.4618,0.088,0.0571,0.19141,103.935,35.7728,25.7517,100.79,66.0,18.4502,11.09598901819661
67.384,18.4246,0.0971,0.0564,0.16004,103.853,35.7741,25.7621,100.593,67.0,18.4128,11.887279205215961
68.39,18.4016,0.0909,0.0571,0.12794,103.519,35.7753,25.7688,100.659,68.0,18.3897,11.822792999187916
69.396,18.3907,0.0893,0.0569,0.12009,103.491,35.775,25.7714,100.646,69.0,18.3786,12.038308810837206
70.402,18.3869,0.0807,0.0557,0.11933,103.102,35.7748,25.7723,100.25,70.0,18.3746,12.188953446667458
71.408,18.385,0.0765,0.0563,0.11808,103.301,35.7746,25.7726,100.215,71.0,18.3726,11.757816915074912
72.414,18.3693,0.0764,0.0564,0.11814,103.104,35.7743,25.7764,100.333,72.0,18.3566,12.006003433139043
73.42,18.348,0.0726,0.0572,0.11817,103.01,35.7744,25.7818,100.266,73.0,18.3352,12.46690008437836
74.426,18.3278,0.1033,0.0578,0.118,102.776,35.7732,25.786,100.323,74.0,18.3148,
