step,name,enabled,exe,exe_found,exe_path,canonical_psa,selected_psa_found,selected_psa_path,output_folder,output_suffix,input_suffix,status
1,01_datcnv,True,DatCnvW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DatCnvW.exe,01_datcnv.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\01_datcnv.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD,.cnv,,OK
2,02_alignctd,True,AlignCTDW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\AlignCTDW.exe,02_alignctd.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\02_alignctd.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,_al.cnv,,OK
3,03_wildedit,False,WildEditW.exe,,,03_wildedit.psa,,,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,_al_we.cnv,,SKIPPED_DISABLED
4,04_celltm,False,CellTMW.exe,,,04_celltm.psa,,,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,_al_ctm.cnv,,SKIPPED_DISABLED
5,05_filter,False,FilterW.exe,,,05_filter.psa,,,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Align_CTD,_al_filt.cnv,,SKIPPED_DISABLED
6,06_loopedit,True,LoopEditW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\LoopEditW.exe,06_loopedit.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\06_loopedit.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Loop_Edit,_loop.cnv,,OK
7,07_derive,True,DeriveW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\DeriveW.exe,07_derive.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\07_derive.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\Derived_Parameter,_der.cnv,,OK
8,08b_binavg_1m_down,True,BinAvgW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe,08b_binavg_1m_down.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\08b_binavg_1m_down.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down,_1m_down.cnv,,OK
9,08d_binavg_1s_full,True,BinAvgW.exe,True,C:\Program Files (x86)\Sea-Bird\SBEDataProcessing-Win32\BinAvgW.exe,08d_binavg_1s_full.psa,True,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\psa\08d_binavg_1s_full.psa,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s,_1s.cnv,,OK
10,09b_asciiout_1m_down,False,ASCII_OutW.exe,,,09_asciiout_semicolon.psa,,,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\asc_semicolon,_1m_down_ascii.asc,_1m_down.cnv,SKIPPED_DISABLED
11,09d_asciiout_1s_full,False,ASCII_OutW.exe,,,09_asciiout_semicolon.psa,,,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\asc_semicolon,_1s_ascii.asc,_1s.cnv,SKIPPED_DISABLED
