cast_id,product_type,source_path,destination_path,run_requested,status,message
P45_06_CTD_01,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_01_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_01_1m_down.cnv,True,copied,
P45_06_CTD_01,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_01_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_01_1s.cnv,True,copied,
P45_06_CTD_02,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_02_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_02_1m_down.cnv,True,copied,
P45_06_CTD_02,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_02_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_02_1s.cnv,True,copied,
P45_06_CTD_03,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_03_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_03_1m_down.cnv,True,copied,
P45_06_CTD_03,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_03_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_03_1s.cnv,True,copied,
P45_06_CTD_04,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_04_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_04_1m_down.cnv,True,copied,
P45_06_CTD_04,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_04_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_04_1s.cnv,True,copied,
P45_06_CTD_05,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_05_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_05_1m_down.cnv,True,copied,
P45_06_CTD_05,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_05_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_05_1s.cnv,True,copied,
P45_06_CTD_06,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_06_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_06_1m_down.cnv,True,copied,
P45_06_CTD_06,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_06_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_06_1s.cnv,True,copied,
P45_06_CTD_07,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_07_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_07_1m_down.cnv,True,copied,
P45_06_CTD_07,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_07_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_07_1s.cnv,True,copied,
P45_06_CTD_08,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_08_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_08_1m_down.cnv,True,copied,
P45_06_CTD_08,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_08_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_08_1s.cnv,True,copied,
P45_06_CTD_09,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_09_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_09_1m_down.cnv,True,copied,
P45_06_CTD_09,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_09_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_09_1s.cnv,True,copied,
P45_06_CTD_10,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_10_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_10_1m_down.cnv,True,copied,
P45_06_CTD_10,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_10_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_10_1s.cnv,True,copied,
P45_06_CTD_11,audit_copy_08b_binavg_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_11_1m_down.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08b_binavg_1m_down\P45_06_CTD_11_1m_down.cnv,True,copied,
P45_06_CTD_11,audit_copy_08d_binavg_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_11_1s.cnv,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\_audit\08_binavg_cnv\08d_binavg_1s_full\P45_06_CTD_11_1s.cnv,True,copied,
